type,pair
FOREX,CADCHF
FOREX,EURGBP
FOREX,EURJPY
FOREX,EURUSD
FOREX,GBPUSD
FOREX,NZDUSD
FOREX,USDCAD
FOREX,USDJPY
FOREX,USDCHF
FOREX,EURCHF
FOREX,NZDCAD
FOREX,AUDCAD
FOREX,EURAUD
FOREX,NZDCHF
FOREX,AUDJPY
FOREX,AUDNZD
FOREX,CADJPY
FOREX,EURCAD
FOREX,NZDJPY
FOREX,XBRUSD
FOREX,XTIUSD
FOREX,GBPCHF
FOREX,GBPCAD
FOREX,GBPAUD
FOREX,CHFJPY
FOREX,EURNZD
FOREX,GBPJPY
FOREX,GBPNZD
METAL,XAUUSD
METAL,XAGUSD
INDEX,SP500
INDEX,UK100
INDEX,NAS100
INDEX,DAX40
INDEX,US30
INDEX,JPN225
CRYPTO,BTCUSD
CRYPTO,ETHUSD
