type,pair
FOREX,AUDUSD
FOREX,EURUSD
FOREX,GBPUSD
FOREX,USDCAD
FOREX,USDCHF
FOREX,USDJPY
FOREX,AUDCAD
FOREX,AUDCHF
FOREX,AUDJPY
FOREX,AUDNZD
FOREX,CADCHF
FOREX,CADJPY
FOREX,CHFJPY
FOREX,EURAUD
FOREX,EURCAD
FOREX,EURCHF
FOREX,EURGBP
FOREX,EURJPY
FOREX,EURNZD
FOREX,GBPAUD
FOREX,GBPCAD
FOREX,GBPCHF
FOREX,GBPJPY
FOREX,GBPNZD
FOREX,NZDCAD
FOREX,NZDCHF
FOREX,NZDJPY
FOREX,NZDUSD
FOREX,AUDSGD
FOREX,CHFSGD
FOREX,EURDKK
FOREX,EURHKD
FOREX,EURNOK
FOREX,EURPLN
FOREX,EURSEK
FOREX,EURSGD
FOREX,EURTRY
FOREX,EURZAR
FOREX,GBPDKK
FOREX,GBPNOK
FOREX,GBPSEK
FOREX,GBPSGD
FOREX,GBPTRY
FOREX,NOKJPY
FOREX,NOKSEK
FOREX,SEKJPY
FOREX,SGDJPY
FOREX,USDCNH
FOREX,USDCZK
FOREX,USDDKK
FOREX,USDHKD
FOREX,USDHUF
FOREX,USDMXN
FOREX,USDNOK
FOREX,USDPLN
FOREX,USDRUB
FOREX,USDSEK
FOREX,USDTHB
FOREX,USDTRY
FOREX,USDZAR
FOREX,USDSGD
INDEX,AUS200
INDEX,DE40
INDEX,F40
INDEX,JP225
INDEX,STOXX50
INDEX,UK100
INDEX,US30
INDEX,US500
INDEX,USTEC
INDEX,CA60
INDEX,CHINA50
INDEX,CHINAH
INDEX,ES35
INDEX,HK50
INDEX,IT40
INDEX,MidDE50
INDEX,NETH25
INDEX,NOR25
INDEX,SA40
INDEX,SE30
INDEX,SWI20
INDEX,TecDE30
INDEX,US2000
COMMO,XAUUSD
COMMO,GC25
COMMO,BRENT
COMMO,Cocoa
COMMO,Coffee
COMMO,Corn
COMMO,Cotton
COMMO,OJ
COMMO,Soybean
COMMO,Sugar
COMMO,Wheat
COMMO,WTI
CRYOTO,BTCUSD
CRYOTO,ETHUSD
