type,pair
MAJOR,EURUSD
MAJOR,USDJPY
MAJOR,GBPUSD
MAJOR,USDCHF
MAJOR,AUDUSD
MAJOR,USDCAD
MAJOR,NZDUSD
MINOR,EURGBP
MINOR,EURJPY
MINOR,GBPJPY
MINOR,EURCHF
MINOR,GBPCHF
MINOR,AUDJPY
MINOR,NZDJPY
MINOR,CADJPY
MINOR,EURAUD
MINOR,EURCAD
MINOR,GBPAUD
MINOR,GBPCAD
MINOR,CHFJPY
MINOR,AUDNZD
MINOR,AUDCAD
MINOR,AUDCHF
MINOR,NZDCHF
MINOR,NZDCAD
MINOR,CADCHF
EXOTIC,USDSEK
EXOTIC,USDNOK
EXOTIC,USDDKK
EXOTIC,EURSEK
EXOTIC,EURNOK
EXOTIC,EURDKK
EXOTIC,USDTRY
EXOTIC,EURTRY
EXOTIC,GBPTRY
EXOTIC,USDZAR
EXOTIC,EURZAR
EXOTIC,USDMXN
EXOTIC,EURMXN
EXOTIC,USDPLN
EXOTIC,EURPLN
EXOTIC,USDHUF
EXOTIC,EURHUF
EXOTIC,USDCZK
EXOTIC,EURCZK
EXOTIC,USDTHB
EXOTIC,EURTHB
EXOTIC,USDSGD
EXOTIC,EURSGD
EXOTIC,USDHKD
METAL,XAUUSD
METAL,XAGUSD
METAL,XPTUSD
METAL,XPDUSD
ENERGY,WTIUSD
ENERGY,BRENTUSD
ENERGY,NATGASUSD
ENERGY,GASOILUSD
AGRICULTURE,WHEATUSD
AGRICULTURE,CORNUSD
AGRICULTURE,SOYBEANUSD
AGRICULTURE,COFFEEUSD
AGRICULTURE,COCOAUSD
AGRICULTURE,SUGARUSD
AGRICULTURE,COTTONUSD
AGRICULTURE,ORANGEJUICEUSD
METAL,COPPERUSD
METAL,ALUMINUMUSD
METAL,NICKELUSD
METAL,ZINCUSD
METAL,LEADUSD
METAL,TINUSD
